Date,Close,Open,High,Low,Volumn
2020-03-20 09:15:06+07:00,19.1,19.25,19.3,19.05,2715060
2020-03-20 10:00:26+07:00,19.1,19.1,19.2,19.05,2473280
2020-03-20 11:00:32+07:00,19.1,19.1,19.15,19.05,889750
2020-03-20 13:00:20+07:00,18.85,19.1,19.1,18.8,3350020
2020-03-20 14:00:15+07:00,18.6,18.85,19.05,18.6,3973150
2020-03-23 09:15:09+07:00,17.4,17.4,17.8,17.3,5194270
2020-03-23 10:00:02+07:00,17.3,17.4,17.4,17.3,6433280
2020-03-23 11:00:20+07:00,17.3,17.3,17.35,17.3,986100
2020-03-23 13:00:21+07:00,17.3,17.3,17.3,17.3,245640
2020-03-23 14:00:38+07:00,17.3,17.3,17.3,17.3,87880
2020-03-24 09:15:09+07:00,16.85,17.0,17.1,16.7,4955260
2020-03-24 10:00:26+07:00,17.15,16.85,17.15,16.85,2594510
2020-03-24 11:00:17+07:00,17.05,17.15,17.15,16.95,2063650
2020-03-24 13:00:20+07:00,17.3,17.0,17.35,17.0,2261150
2020-03-24 14:00:05+07:00,17.1,17.3,17.35,17.1,1956820
2020-03-25 09:15:26+07:00,17.65,17.85,17.85,17.5,1401080
2020-03-25 10:00:16+07:00,17.5,17.65,17.7,17.4,1837670
2020-03-25 11:00:04+07:00,17.6,17.5,17.65,17.5,1215860
2020-03-25 13:00:21+07:00,17.7,17.65,17.8,17.6,2260160
2020-03-25 14:00:08+07:00,17.8,17.7,17.85,17.7,1043440
2020-03-26 09:15:19+07:00,17.5,17.55,17.55,17.2,2342410
2020-03-26 10:00:07+07:00,17.5,17.5,17.55,17.4,1659110
2020-03-26 11:00:03+07:00,17.35,17.45,17.45,17.3,516100
2020-03-27 09:15:21+07:00,16.85,16.9,17.0,16.75,1951510
2020-03-27 10:00:25+07:00,16.95,16.85,17.0,16.8,1733790
2020-03-27 11:00:10+07:00,16.9,16.95,16.95,16.75,1675710
2020-03-27 13:00:20+07:00,16.05,16.9,16.9,15.85,5744660
2020-03-27 14:00:08+07:00,16.2,16.05,16.45,16.05,2336970
